Ano;Sigla;IGC (Contínuo);IGC (Faixa)
2021;IFAL;2856866334;3
2021;IFAL;3278240164;4
2021;IFAL;4076238557;5
2021;IFAL;4300489861;5
2021;IFAL;2641762914;3
2021;IFAL;2328300919;3
2021;IFAL;3906819271;4
2021;IFAL;335249821;4
2021;IFAL;2849506487;3
2021;IFAL;3509478483;4
2021;IFAL;2997071468;4
2021;IFAL;313265412;4
2021;IFAL;2863039275;3
2021;IFAL;2210827218;3
2021;IFAL;2496716327;3
2021;IFAL;3729463207;4
2021;IFAL;2927776053;3
2021;IFAL;3620471285;4
2021;IFAL;3488239617;4
2021;IFAL;3491957869;4
2021;IFAL;;
2021;IFAL;3508512042;4
2021;IFAL;3377704888;4
2021;IFAL;3512507192;4
2021;IFAL;3335696579;4
2021;IFAL;3292811579;4
2021;IFAL;3266043925;4
2021;IFAL;3576490485;4
2021;IFAL;3324348627;4
2021;IFAL;405079264;5
2021;IFAL;2825584097;3
2021;IFAL;3234727942;4
2021;IFAL;2940779387;3
2021;IFAL;2536784039;3
2021;IFAL;3512451573;4
2021;IFAL;3236517674;4
2021;IFAL;2965590173;4
2021;IFAL;3051728893;4
2021;IFAL;3089183416;4
2021;IFAL;3997807128;5
2021;IFAL;2923411951;3
2021;IFAL;3611112844;4
2021;IFAL;4058092028;5
2021;IFAL;2960656557;4
2021;IFAL;356986275;4
2021;IFAL;4123139024;5
2021;IFAL;3189843941;4
2021;IFAL;400329495;5
2021;IFAL;3225937454;4
2021;IFAL;3102641944;4
2021;IFAL;4165353459;5
2021;IFAL;3027673073;4
2021;IFAL;3549260646;4
2021;IFAL;3042680337;4
2021;IFAL;3441288643;4
2021;IFAL;3373048788;4
2021;IFAL;2845015305;3
2021;IFAM;336759351;4
2021;IFAM;3441288643;4
2021;IFAM;3114109;4
2021;IFAM;3620471285;4
2021;IFAM;4027566597;5
2021;IFAM;2496716327;3
2021;IFAM;2988914465;4
2021;IFAM;2661805133;3
2021;IFAM;2997071468;4
2021;IFAM;2923411951;3
2021;IFAM;3307692363;4
2021;IFAM;3506472556;4
2021;IFAM;2210827218;3
2021;IFAM;400329495;5
2021;IFAM;2845015305;3
2021;IFAM;2492294448;3
2021;IFAM;3576490485;4
2021;IFAM;3611112844;4
2021;IFAM;3506946459;4
2021;IFAM;414065135;5
2021;IFAM;3042680337;4
2021;IFAM;3377704888;4
2021;IFAM;2863039275;3
2021;IFAM;2430536858;3
2021;IFAM;3222894241;4
2021;IFAM;3906819271;4
2021;IFAM;3508512042;4
2021;IFAM;3490974306;4
2021;IFAM;3102641944;4
2021;IFAM;3225937454;4
2021;IFAM;2849209604;3
2021;IFAM;2837679013;3
2021;IFAM;3390293399;4
2021;IFAM;3573005406;4
2021;IFAM;3234727942;4
2021;IFAM;334620836;4
2021;IFAM;2695885804;3
2021;IFAM;3292811579;4
2021;IFAM;3126550894;4
2021;IFAM;3491957869;4
2021;IFAM;2887219177;3
2021;IFAM;2835568588;3
2021;IFAM;4165353459;5
2021;IFAM;2536784039;3
2021;IFAM;2339542225;3
2021;IFAM;3553983939;4
2021;IFAM;3051728893;4
2021;IFAM;4123139024;5
2021;IFAM;2825584097;3
2021;IFAM;2245888744;3
2021;IFAM;3941658713;4
2021;IFAM;2622672816;3
2021;IFAM;3236517674;4
2021;IFAM;2965590173;4
2021;IFAM;3722787753;4
2021;IFAM;405079264;5
2021;IFAM;2927776053;3
2021;IFAM;2732657196;3
2021;IFAM;2940779387;3
2021;IFAM;2850843609;3
2021;IFAM;3089183416;4
2021;IFAM;3509478483;4
2021;IFAM;3708137018;4
2021;IFAM;3324348627;4
2021;IFAM;2890119389;3
2021;IFAM;3291531494;4
2021;IFAM;2641762914;3
2021;IFAM;3512507192;4
2021;IFAM;3831764174;4
2021;IFAM;3729463207;4
2021;IFAM;3846247682;4
2021;IFAM;2328300919;3
2021;IFAM;306536013;4
2021;IFAM;2849506487;3
2021;IFAM;293390235;3
2021;IFAM;3324683138;4
2021;IFAM;3189843941;4
2021;IFAM;2856866334;3
2021;IFAM;4302484121;5
2021;IFAM;335249821;4
2021;IFAM;3883235013;4
2021;IFAM;3048186625;4
2021;IFAM;3278240164;4
2021;IFAM;356986275;4
2021;IFAM;3549260646;4
2021;IFAM;2960656557;4
2021;IFAM;3612885813;4
2021;IFAM;3335696579;4
2021;IFAM;3488239617;4
2021;IFAM;3266043925;4
2021;IFAM;4058092028;5
2021;IFAM;4300489861;5
2021;IFAM;3027673073;4
2021;IFAM;2688384493;3
2021;IFAM;313265412;4
2021;IFAM;2403153013;3
2021;IFAM;3017890085;4
2021;IFAM;3273782929;4
2021;IFAM;3512451573;4
2021;IFAM;3373048788;4
2021;IFAM;;
2021;IFAM;4076238557;5
2021;IFAM;3997807128;5
2021;IFAM;4081073545;5
2021;IFAP;3906819271;4
2021;IFAP;2430536858;3
2021;IFAP;3390293399;4
2021;IFAP;3324683138;4
2021;IFAP;2923411951;3
2021;IFAP;3729463207;4
2021;IFAP;2403153013;3
2021;IFAP;2825584097;3
2021;IFAP;2960656557;4
2021;IFAP;3549260646;4
2021;IFAP;3377704888;4
2021;IFAP;2850843609;3
2021;IFAP;2339542225;3
2021;IFAP;306536013;4
2021;IFAP;3941658713;4
2021;IFAP;4058092028;5
2021;IFAP;4076238557;5
2021;IFAP;2496716327;3
2021;IFAP;4300489861;5
2021;IFAP;2856866334;3
2021;IFAP;2837679013;3
2021;IFAP;3051728893;4
2021;IFAP;3508512042;4
2021;IFAP;313265412;4
2021;IFAP;336759351;4
2021;IFAP;3307692363;4
