Ano;Região;UF;Estado;Organização Acadêmica;Instituicao;Instituição (Nome);nomeCurso;tipoCurso;tipoEixoTecnologico;SubeixoTecnologico;tipoOferta;turnoCurso;ModalidadeEnsino;nomeFonteFinanciamento;Número de cursos;Número de concluintes;Número de ingressantes;Número de inscritos;Número de Matrículas;Número de vagas;Matrícula Equivalente Apresentada Geral
2021;Nordeste;CE;Ceará;Institutos Federais, Cefet's e Colégio Pedro II;IFCE;Instituto Federal do Ceará;Mestrado - Ambiente e Saúde;Mestrado;Ambiente e Saúde;Ambiente e Saúde;Não se aplica;Integral;Educação Presencial;Sem Programa Associado;1;6;15;93;37;13;37
2021;Nordeste;CE;Ceará;Institutos Federais, Cefet's e Colégio Pedro II;IFCE;Instituto Federal do Ceará;Mestrado - Desenvolvimento Educacional e Social;Mestrado;Desenvolvimento Educacional e Social;Desenvolvimento Educacional e Social;Não se aplica;Integral;Educação Presencial;Sem Programa Associado;1;21;26;155;70;26;70
2021;Nordeste;CE;Ceará;Institutos Federais, Cefet's e Colégio Pedro II;IFCE;Instituto Federal do Ceará;Mestrado - Informação e Comunicação;Mestrado;Informação e Comunicação;Informática;Não se aplica;Integral;Educação Presencial;Sem Programa Associado;1;16;39;58;142;61;142
2021;Nordeste;CE;Ceará;Institutos Federais, Cefet's e Colégio Pedro II;IFCE;Instituto Federal do Ceará;Mestrado - Produção Alimentícia;Mestrado;Produção Alimentícia;Produção Alimentícia;Não se aplica;Matutino;Educação Presencial;Sem Programa Associado;1;3;8;28;24;8;24
2021;Nordeste;CE;Ceará;Institutos Federais, Cefet's e Colégio Pedro II;IFCE;Instituto Federal do Ceará;Mestrado - Recursos Naturais;Mestrado;Recursos Naturais;Recursos Naturais;Não se aplica;Integral;Educação Presencial;Sem Programa Associado;1;5;12;29;23;22;23
2021;Nordeste;CE;Ceará;Institutos Federais, Cefet's e Colégio Pedro II;IFCE;Instituto Federal do Ceará;Mestrado Profissional - Desenvolvimento Educacional e Social;Mestrado Profissional;Desenvolvimento Educacional e Social;Desenvolvimento Educacional;Não se aplica;Integral;Educação Presencial;Sem Programa Associado;3;37;50;2519;166;67;166
2021;Nordeste;CE;Ceará;Institutos Federais, Cefet's e Colégio Pedro II;IFCE;Instituto Federal do Ceará;Mestrado Profissional - Gestão e Negócios;Mestrado Profissional;Gestão e Negócios;Gestão e Negócios;Não se aplica;Integral;Educação Presencial;Sem Programa Associado;1;6;14;50;43;14;43
2021;Nordeste;CE;Ceará;Institutos Federais, Cefet's e Colégio Pedro II;IFCE;Instituto Federal do Ceará;Montador de Painéis Elétricos;Qualificação Profissional (FIC);Controle e Processos Industriais;Elétrica;Não se aplica;Noturno;Educação Presencial;Sem Programa Associado;1;;;;24;;5,28
2021;Nordeste;CE;Ceará;Institutos Federais, Cefet's e Colégio Pedro II;IFCE;Instituto Federal do Ceará;Música;Licenciatura;Desenvolvimento Educacional e Social;Desenvolvimento Educacional;Não se aplica;Integral;Educação Presencial;Sem Programa Associado;1;;;;27;;29,89
2021;Nordeste;CE;Ceará;Institutos Federais, Cefet's e Colégio Pedro II;IFCE;Instituto Federal do Ceará;Música;Licenciatura;Desenvolvimento Educacional e Social;Desenvolvimento Educacional;Não se aplica;Matutino;Educação Presencial;Sem Programa Associado;1;;21;176;49;37;54,24
