Ano;Sigla;Área de Avaliação;CPC (Faixa)
2019;IF FARROUPILHA;AGRONOMIA;3
2019;IF FARROUPILHA;AGRONOMIA;4
2019;IF FARROUPILHA;AGRONOMIA;5
2019;IF FARROUPILHA;ARQUITETURA E URBANISMO;3
2019;IF FARROUPILHA;ARQUITETURA E URBANISMO;4
2019;IF FARROUPILHA;ARQUITETURA E URBANISMO;5
2019;IF FARROUPILHA;BIOMEDICINA;3
2019;IF FARROUPILHA;BIOMEDICINA;4
2019;IF FARROUPILHA;EDUCAÇÃO FÍSICA (BACHARELADO);3
2019;IF FARROUPILHA;EDUCAÇÃO FÍSICA (BACHARELADO);4
2019;IF FARROUPILHA;ENFERMAGEM;0
2019;IF FARROUPILHA;ENFERMAGEM;3
2019;IF FARROUPILHA;ENFERMAGEM;4
2019;IF FARROUPILHA;ENFERMAGEM;5
2019;IF FARROUPILHA;ENGENHARIA AMBIENTAL;0
2019;IF FARROUPILHA;ENGENHARIA AMBIENTAL;3
2019;IF FARROUPILHA;ENGENHARIA AMBIENTAL;4
2019;IF FARROUPILHA;ENGENHARIA AMBIENTAL;5
2019;IF FARROUPILHA;ENGENHARIA CIVIL;3
2019;IF FARROUPILHA;ENGENHARIA CIVIL;4
2019;IF FARROUPILHA;ENGENHARIA CIVIL;5
2019;IF FARROUPILHA;ENGENHARIA DA COMPUTAÇÃO;3
2019;IF FARROUPILHA;ENGENHARIA DA COMPUTAÇÃO;4
2019;IF FARROUPILHA;ENGENHARIA DA COMPUTAÇÃO;5
2019;IF FARROUPILHA;ENGENHARIA DE ALIMENTOS;3
2019;IF FARROUPILHA;ENGENHARIA DE ALIMENTOS;4
2019;IF FARROUPILHA;ENGENHARIA DE ALIMENTOS;5
2019;IF FARROUPILHA;ENGENHARIA DE CONTROLE E AUTOMAÇÃO;0
2019;IF FARROUPILHA;ENGENHARIA DE CONTROLE E AUTOMAÇÃO;3
2019;IF FARROUPILHA;ENGENHARIA DE CONTROLE E AUTOMAÇÃO;4
2019;IF FARROUPILHA;ENGENHARIA DE CONTROLE E AUTOMAÇÃO;5
2019;IF FARROUPILHA;ENGENHARIA DE PRODUÇÃO;3
